+---------------------+-----------------+-------------------+
| pickup_worst_avg    | pickup_location | avg(pickup_rent)  |
+---------------------+-----------------+-------------------+
| 0.03049659649076185 | 35              | 1843.966152688981 |
| 0.0340163439706533  | 173             | 1939.557892705519 |
| 0.03555909506958219 | 39              | 2085.803540437348 |
| 0.04054437289549913 | 69              | 1699.650606796117 |
| 0.04118314959343836 | 26              | 1798.616074766355 |
| 0.04441150383652188 | 177             | 3162.028935395814 |
| 0.04441799693223033 | 76              | 2112.192716556152 |
| 0.04535432739164904 | 168             | 2087.618879526304 |
| 0.04782366782116922 | 83              | 1946.881641689373 |
| 0.05023679857228659 | 92              | 2000.047899778924 |
+---------------------+-----------------+-------------------+
+--------------------+-----------------+-------------------+
| pickup_best_avg    | pickup_location | avg(pickup_rent)  |
+--------------------+-----------------+-------------------+
| 0.1733721545014721 | 138             | 1745.199531396308 |
| 0.1594928494000281 | 125             | 1766.651667350857 |
| 0.1579271167693368 | 234             | 1794.933170455567 |
| 0.1563799958832142 | 249             | 3739.278534949107 |
| 0.1560679556536479 | 52              | 3068.442188770103 |
| 0.1554194274119076 | 90              | 4624.601469035832 |
| 0.1553500018148152 | 107             | 3512.581920095994 |
| 0.1534253284366821 | 13              | 4376.169824085192 |
| 0.1530611828140465 | 113             | 3704.618869910439 |
| 0.1522481001271126 | 158             | 3737.981928881404 |
+--------------------+-----------------+-------------------+
+---------------------+------------------+-------------------+
| dropoff_worst_avg   | dropoff_location | avg(dropoff_rent) |
+---------------------+------------------+-------------------+
| 0.03116205325318759 | 173              | 1933.984991722576 |
| 0.03505988741372373 | 212              | 1792.667020148462 |
| 0.0354489372014465  | 94               | 1767.094931098396 |
| 0.0357082608382149  | 35               | 1801.651326176192 |
| 0.03753919197054633 | 78               | 1750.774320408445 |
| 0.03761212237860838 | 167              | 1853.609778387023 |
| 0.03864055801834767 | 76               | 2076.239834043407 |
| 0.03888251071310497 | 235              | 1659.489855072464 |
| 0.0389876244101929  | 248              | 1798.198938547486 |
| 0.03932231840529259 | 77               | 2073.211015680403 |
+---------------------+------------------+-------------------+
+--------------------+------------------+-------------------+
| dropoff_best_avg   | dropoff_location | avg(dropoff_rent) |
+--------------------+------------------+-------------------+
| 0.1821001670850761 | 138              | 1743.843621237753 |
| 0.1742195795015238 | 40               | 2923.071827597245 |
| 0.1713109857782838 | 52               | 3069.38847518762  |
| 0.1661671230931076 | 257              | 2531.906949602122 |
| 0.1637808824098338 | 249              | 3739.422089596918 |
| 0.1624680069213212 | 181              | 2825.99753016087  |
| 0.1619895375188173 | 112              | 2794.462828559271 |
| 0.1616971270099979 | 189              | 2900.297369786205 |
| 0.1611739120582402 | 224              | 1822.608995206636 |
| 0.1609995935982316 | 1                | 2831.029700672906 |
+--------------------+------------------+-------------------+
