2017-01,Q,990459,196666
2017-02,Q,902204,181705
2017-03,Q,1128223,211343
2017-04,Q,1119241,188566
2017-05,Q,1185751,222107
2017-06,Q,1107686,225261
2017-07,Q,1026007,211440
2017-08,Q,1039574,197406
2017-09,Q,1045763,209290
2017-10,Q,1104535,242474
2017-11,Q,1023289,231470
2017-12,Q,1002793,204961
2018-01,Q,917704,204049
2018-02,Q,862938,204161
2018-03,Q,1018129,224513
2018-04,Q,1041078,226357
2018-05,Q,1075808,254447
2018-06,Q,1021928,221319
2018-07,Q,937783,222604
2018-08,Q,960203,200069
2018-09,Q,937750,206957
2018-10,Q,999427,260923
2018-11,Q,910725,231176
2018-12,Q,889754,223448
